LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Adiantum aleuticum,Maidenhair Fern,Shade,Moist/Humus,"Shade Forest, Riparian","Plug (inquire), Container",Ferns
Asplenium trichomanes,Maidenhair Spleenwort,Shade,"Moist/Well Drained, Rocky, Alkaline (Basic)",Shade Forest,Inquire,Ferns
Athyrium filix-femina,Lady Fern,Partial Shade,Moist/Wet,"Shade Forest, Bog, Wetland, Riparian","Plug (inquire), Container",Ferns
Athyrium niponicum 'Pictum',Japanese Painted Fern,Partial Shade,Moist/Humus,Shade Forest,Inquire,Ferns
Blechnum spicant,Deer Fern,Shade,Moist/Wet,"Shade Forest, Bog, Riparian","Plug (inquire), Container",Ferns
Cryptogramma crispa,Parsley Fern,Partial Shade,"Dry, Rocky, Well Drained","Open Forest, Montane/Alpine",Inquire,Ferns
Cystopteris fragilis,Fragile Fern,Partial Shade,"Moist/Dry, Rocky, Drought Tolerant",Open Forest,Inquire,Ferns
Dryopteris erythrosora,Autumn Fern,Partial Shade,Well Drained/Moist,Open Forest,"Plug (inquire), Container",Ferns
Dryopteris expansa,Spiny Wood Fern,Shade/Partial Shade,Moist,"Shade Forest, Open Forest, Riparian","Plug (inquire), Container",Ferns
Dryopteris filix-mas,Male Fern,Partial Shade,Moist,Open Forest,Inquire,Ferns
Gymnocarpium dryopteris,Oak Fern,Shade/Partial Shade,Moist,"Shade Forest, Riparian","Plug (inquire), Container",Ferns
Matteuccia struthiopteris,Ostrich Fern,Partial Shade,Moist/Humus,Open Forest,"Plug (inquire), Container",Ferns
Osmunda cinnamomea,Cinnamon Fern,Partial Shade,Moist/Humus,Open Forest,"Plug (inquire), Container",Ferns
Polypodium glycyrrhiza,Licorice Fern,Shade/Partial Shade,Well Drained/Moist,"Shade Forest, Riparian","Plug (inquire), Container",Ferns
Polypodium scouleri,Leathery Polypody,Partial Shade,Moist,"Shoreline, Riparian, Shade Forest","Plug (inquire), Container",Ferns
Polystichum munitum,Sword Fern,Partial Shade/Sun,"Moist/Dry, Humus",Shade Forest,"Plug, Container",Ferns
Polystichum neolobatum,Long-eared Holly Fern,Partial Shade,Moist,Shade Forest,Inquire,Ferns
Polystichum polyblepharum,Tassle Fern,Partial Shade,Moist,Shade Forest,"Plug (inquire), Container",Ferns
Polystichum setiferum 'Divisilobum',Soft Shield Fern,Shade,Moist,Shade Forest,"Plug (inquire), Container",Ferns
Pteridum aquilinium,Bracken Fern,Sun/Partial Shade,Wet/Moist/Dry,"Open Forest, Grassland, Forest Edge, Disturbed Sites, Bog",Container,Ferns
