LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Agrostis pallens,Bent Grass,Partial Shade,"Well Drained/Dry, Drought Tolerant","Shoreline, Grassland",Inquire,Grasses & Associates
Beckmannia syzigachne,Sloughgrass,Sun,Wet,"Shoreline, Wetland, Grassland",Inquire,Grasses & Associates
Bouteloua gracilis,Blue Gramma,Sun,"Moist/Dry/Well Drained,Drought Tolerant","Grassland, Open Forest",Inquire,Grasses & Associates
Bromus marginatus,Mountain Brome,Sun,"Moist, Well Drained","Grassland, Montane/Alpine, Interior, Disturbed Sites",Inquire,Grasses & Associates
Calamagrostis rubescens,Pinegrass,Sun/Partial Shade,"Moist/Dry, Well Drained","Grassland, Open Forest, Interior, Disturbed Sites",Inquire,Grasses & Associates
Calamagrostis stricta,Slimstem Reedgrass,Sun,Moist/Wet,"Shoreline, Wetland, Grassland, Green Roof",Inquire,Grasses & Associates
Carex pachystachya,Chamisso Sedge,Sun,Moist/Wet,"Shoreline, Grassland, Green Roof",Inquire,Grasses & Associates
Carex pansa,Sand Dune Sedge,Sun,"Moist/Dry, Drought Tolerant","Shoreline, Grassland, Green Roof",Inquire,Grasses & Associates
Carex tumulicola,Foothill Sedge,Sun/Partial Shade,Moist/Dry,"Grassland, Green Roof","Plug, Container",Grasses & Associates
Danthonia californica,California Oatgrass,Sun/Partial Shade,Well Drained/Moist,Grassland,Inquire,Grasses & Associates
Danthonia parryi,Parry's Oatgrass,Sun,Well Drained,"Grassland, Interior",Inquire,Grasses & Associates
Deschampsia caespitosa,Tufted Hair Grass,Sun/Partial Shade,Well Drained/Moist,"Shoreline, Grassland","Plug, Container",Grasses & Associates
Distichilis spicata var. spicata,Seashore Saltgrass,Sun,"Acidic/Alkaline (Basic),Moist/Wet","Shoreline, Salt Marsh",Plug,Grasses & Associates
Elymus glaucus,Blue Wild Rye,Sun/Partial Shade,Moist/Dry,"Grassland, Open Forest",Plug,Grasses & Associates
Festuca campestris,Foothills Rough Fescue,Sun,"Moist/Dry, Well Drained","Grassland, Open Forest",Inquire,Grasses & Associates
Festuca idahoensis,Idaho Fescue,Sun,Well Drained,"Grassland, Green Roof","Plug, Container",Grasses & Associates
Festuca ovina 'Elijah Blue',Elijah Blue Fescue,Sun,Well Drained,"Grassland, Green Roof","Plug, Container",Grasses & Associates
Festuca roemeri,Roemer's Fescue,Sun,Well Drained,"Grassland, Green Roof",Plug,Grasses & Associates
Festuca rubra,Red Fescue,Sun/Partial Shade,Well Drained,"Grassland, Green Roof","Plug, Container",Grasses & Associates
Festuca saximontana,Rocky Mountain Fescue,Sun,Well Drained,"Grassland, Green Roof",Plug,Grasses & Associates
Glyceria elata,Tall Mannagrass,Partial Shade,Wet/Moist,"Shoreline, Wetland, Grassland, Shade Forest, Bog","Plug, Container",Grasses & Associates
Glyceria grandis,Reed Mannagrass,Sun,Wet/Moist,"Shoreline, Wetland, Grassland","Plug, Container",Grasses & Associates
Hesperostipa comata,Needle and Thread Grass,Sun,"Well Drained/Dry,Sandy,Drought Tolerant","Grassland, Montane/Alpine, Interior, Disturbed Sites",Inquire,Grasses & Associates
Koeleria macrantha,Prairie Junegrass,Sun,"Well Drained/Dry,Rocky,Drought Tolerant","Grassland, Open Forest, Green Roof",Inquire,Grasses & Associates
Leymus (Elymus) cinereus,Giant Wildrye,Sun,"Moist/Dry,Sandy,Drought Tolerant","Grassland, Montane/Alpine, Interior, Disturbed Sites",Inquire,Grasses & Associates
Leymus (Elymus) mollis,Dune Grass,Sun,"Moist/Dry,Sandy/Rocky",Shoreline,"Plug, Container",Grasses & Associates
Melica subulata,Alaska Oniongrass,Sun/Partial Shade,Moist/Dry,"Grassland, Open Forest",Inquire,Grasses & Associates
Poa alpina,Alpine Bluegrass,Sun,"Moist/Wet,Rocky","Montane/Alpine, Forest Edge, Grassland",Inquire,Grasses & Associates
Poa secunda,Sandberg Bluegrass,Sun,"Moist/Dry,Well Drained,Drought Tolerant",Grassland,Inquire,Grasses & Associates
Pseudoroegneria spicata,Bluebunch Wheatgrass,Sun,"Dry,Rocky,Well Drained,Drought Tolerant","Grassland, Open Forest, Montane/Alpine",Inquire,Grasses & Associates
Schizachyrium scoparium,Little Blue Stem,Sun,"Moist/Dry,Well Drained,Drought Tolerant","Grassland, Open Forest, Disturbed Sites",Inquire,Grasses & Associates
Sporobolus heterolepis,Prairie Dropseed,Sun,"Moist/Dry,Well Drained,Drought Tolerant","Grassland, Green Roof",Inquire,Grasses & Associates
Trisetum spicatum,Spiked Trisetum,Sun,"Moist/Dry,Well Drained,Rocky/Sandy","Grassland, Disturbed Sites, Montane/Alpine",Inquire,Grasses & Associates
