LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Gaultheria procumbens,Wintergreen,Partial Shade,Moist/Alkaline (Basic)/Humus,Open Forest,"Plug, Container",Miscellaneous Groundcovers
Parthenocissus quinquefolia,Virginia Creeper,Partial Shade,Well Drained,Shade Forest,Inquire,Miscellaneous Groundcovers
Parthenocissus tricuspidata,Boston Ivy,Partial Shade,Well Drained/San,Shade Forest,Inquire,Miscellaneous Groundcovers
Sedum acre,Biting Stonecrop,Sun,Well Drained/Dry,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum acre 'Aureum',Aureum Stonecrop,Sun,Well Drained/Dry,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum album,White Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum album 'Chloroticum',Chloroticum Stonecrop,Sun,Well Drained,Green Roof,Un-Rooted Cuttings,Miscellaneous Groundcovers
Sedum album 'Coral Carpet',Coral Carpet Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum album 'Green Ice',Green Ice Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum album 'Murale',Murale Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum cauticola,Cauticola Stonecrop,Sun,Well Drained,Green Roof,Plug,Miscellaneous Groundcovers
Sedum cauticola 'Lidakense',Lidakense Stonecrop,Sun,Well Drained,Green Roof,Inquire,Miscellaneous Groundcovers
Sedum floriferum 'Weihenstephaner Gold',Bailey's Gold Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum hybridum 'Immergrunchen',Immergrunchen Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum kamtschaticum,Kamtschaticum Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum kamtschaticum 'Variegatum',Variegated Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum middendorfium 'Diffusum',Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum pachyclados,Pachyclados Stonecrop,Sun,Well Drained,Green Roof,Inquire,Miscellaneous Groundcovers
Sedum reflexum,Jenny's Stonecrop,Sun,Well Drained/Alkaline (Basic),Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum reflexum 'Blue Spruce',Blue Spruce Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum reflexum 'Green Spruce',Green Spruce Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum rupestre 'Angelina',Angelina Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum sexangulare,Tasteless Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum sichotense,Sicotense Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum sieboldii,October Daphne,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug(inquire)",Miscellaneous Groundcovers
Sedum spathulifolium 'Cape Blanco',Cape Blanco Stonecrop,Sun,Well Drained/Alkaline (Basic),Green Roof,Plug,Miscellaneous Groundcovers
Sedum spathulifolium 'Carnea',Carnea Stonecrop,Sun,Well Drained/Alkaline (Basic),Green Roof,Plug,Miscellaneous Groundcovers
Sedum spurium 'Album Superbum',Superbum Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum spurium 'Dragon's Blood',Dragon's Blood Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum spurium 'Fuldaglut',Red Stonecrop,Sun,Well Drained/San,Green Roof,"Un-Rooted Cuttings, Plug(inquire)",Miscellaneous Groundcovers
Sedum spurium 'John Creech',John Creech Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug(inquire)",Miscellaneous Groundcovers
Sedum spurium 'Red Carpet',Red Carpet Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug(inquire)",Miscellaneous Groundcovers
Sedum spurium 'Royal Pink',Royal Pink Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum spurium 'Tricolor',Tricolor Stonecrop,Sun,Well Drained/Rock,Green Roof,"Un-Rooted Cuttings, Plug",Miscellaneous Groundcovers
Sedum spurium 'VooDoo',Voo Doo Stonecrop,Sun,Well Drained,Green Roof,Inquire,Miscellaneous Groundcovers
Sedum stefco,Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug(inquire)",Miscellaneous Groundcovers
Sedum takisemensis 'Golden Carpet',Golden Carpet Stonecrop,Sun,Well Drained,Green Roof,"Un-Rooted Cuttings, Plug(inquire)",Miscellaneous Groundcovers
Sedum Vera Jameson,Vera Jameson Stonecrop,Sun,Well Drained,Green Roof,Inquire,Miscellaneous Groundcovers
