LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Achillea millefolium,Yarrow,Sun/Partial Shade,"Moist/Dry, Drought Tolerant","Disturbed Sites, Green Roof, Grassland, Shoreline, Montane/Alpine","Plug, Container",Native Perennials
Achlys triphylla,Vanilla Leaf,Shade/Partial Shade,"Moist, Humus","Shade Forest, Forest Edge, Riparian",Container,Native Perennials
Allium acuminatum,Hooker's Onion,Sun,"Well Drained, Dry, Rocky, Drought Tolerant","Grassland, Green Roof","Plug, Container",Native Perennials
Allium cernuum,Nodding Onion,Sun/Partial Shade,"Well Drained, Dry/Moist, Drought Tolerant","Shoreline, Green Roof, Grassland, Open Forest","Plug, Container",Native Perennials
Allium schoenoprasm,Chives,Sun/Partial Shade,Well Drained,"Disturbed Sites, Green Roof","Plug, Container",Native Perennials
Anaphalis margaritacea,Pearly Everlasting,Sun/Partial Shade,"Dry/Moist, Sandy, Drought Tolerant","Shoreline, Grassland, Disturbed Sites, Green Roof","Plug, Container",Native Perennials
Anemone multifida,Cut-Leaved Anemone,Sun/Partial Shade,"Well Drained, Rocky, Moist/Dry","Disturbed Sites, Green Roof, Grassland, Open Forest, Montane/Alpine","Plug, Container",Native Perennials
Angelica lucida,Sea-watch,Sun/Partial Shade,Moist/Wet,"Shoreline, Grassland, Riparian, Forest Edge",Inquire,Native Perennials
Antennaria microphylla,White Pussytoes,Sun,"Moist, Well Drained","Grassland, Green Roof, Open Forest, Montane/Alpine, Interior",Inquire,Native Perennials
Antennaria rosea,Rosy Pussytoes,Sun,"Moist/Dry, Well Drained","Grassland, Green Roof, Open Forest, Montane/Alpine, Interior",Inquire,Native Perennials
Aquilegia formosa,Red Columbine,Sun/Partial Shade,"Moist, Well Drained","Shade Forest, Open Forest, Forest Edge, Grassland, Riparian, Green Roof","Plug, Container",Native Perennials
Armeria maritima,Common Thrift,Sun,"Well Drained, Moist/Dry","Shoreline, Green Roof","Plug, Container",Native Perennials
Arnica chamissonis,Meadow Arnica,Sun/Partial Shade,Moist/Wet,"Open Forest, Riparian, Grassland",Inquire,Native Perennials
