LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Acer circinatum,Vine Maple,Sun/Partial Shade,"Moist, Well Drained","Shade Forest, Riparian, Open Forest, Forest Edge","Plug, Container",Native Shrubs
Acer glabrum,Douglas Maple,Sun/Partial Shade,"Moist/Dry, Well Drained, Rocky","Grassland, Forest Edge, Open Forest, Riparian","Plug, Container",Native Shrubs
Alnus viridis ssp. sinuata,Sitka Alder,Sun/Partial Shade,Moist/Wet,"Riparian, Shade Forest, Open Forest, Interior, Montane/Alpine","Plug, Container",Native Shrubs
Amelanchier alnifolia,Saskatoon Serviceberry,Sun/Partial Shade,Moist/Dry,"Grassland, Forest Edge, Open Forest","Plug, Container",Native Shrubs
Andromeda polifolia,Bog Rosemary,Sun/Partial Shade,"Moist/Wet, Acidic","Bog, Montane/Alpine","Plug, Container",Native Shrubs
Arctostaphylos columbiana,Hairy Manzanita,Sun,"Dry, Rocky","Shoreline, Open Forest, Montane/Alpine",Inquire,Native Shrubs
Betula glandulosa,Dwarf Birch,Sun,"Moist/Wet, Acidic, Rocky","Bog, Wetland, Riparian, Interior, Montane/Alpine",Inquire,Native Shrubs
Ceanothus velutinus,Snowbrush,Sun/Partial Shade,"Dry/Moist, Well Drained, Rocky","Grassland, Open Forest, Forest Edge, Montane/Alpine, Disturbed Sites","Plug, Container",Native Shrubs
Clematis occidentalis,Blue Clematis,Partial Shade/Shade,"Moist, Rocky, Well Drained","Shade Forest, Open Forest, Forest Edge, Riparian, Interior",Inquire,Native Shrubs
Cornus sericea (stolonifera),Red-twig Dogwood,Sun/Shade,Moist/Wet,"Riparian, Wetland, Shade Forest, Open Forest","Plug, Container, Live Stake",Native Shrubs
Elaeagnus commutata,Silverberry,Sun,"Moist/Dry,Well Drained,Sandy/Rocky,Drought Tolerant","Interior, Disturbed Sites, Riparian",Inquire,Native Shrubs
Empetrum nigrum,Crowberry,Sun/Partial Shade,"Wet/Dry, Rocky, Acidic","Bog, Montane/Alpine, Interior",Inquire,Native Shrubs
Holodiscus discolor,Oceanspray,Sun/Partial Shade,"Moist/Dry, Drought Tolerant","Grassland, Open Forest, Forest Edge","Plug, Container",Native Shrubs
Kalmia microphylla,Bog Laurel,Sun/Partial Shade,"Acidic, Moist/Wet","Bog, Wetland, Montane/Alpine","Plug, Container",Native Shrubs
Ledum decumbens,Dwarf Labrador Tea,Sun,Dry/Wet. Acidic,"Bog, Interior",Inquire,Native Shrubs
Ledum glandulosum (Rhododendron columbianum),Trapper's Tea,Sun/Partial Shade,"Moist/Wet, Acidic","Bog, Montane/Alpine","Plug, Container",Native Shrubs
Ledum (Rhododendron) groenlandicum,Labrador Tea,Sun/Partial Shade,"Moist/Wet, Acidic","Bog, Open Forest","Plug, Container",Native Shrubs
Lonicera ciliosa,Western Honeysuckle,Partial Shade/Shade,Moist/Dry,"Open Forest, Forest Edge","Plug, Container",Native Shrubs
Lonicera involucrata,Black Twinberry,Sun/Shade,Moist/Wet,"Riparian, Shade Forest, Open Forest, Wetland","Plug, Container",Native Shrubs
Mahonia aquifolium,Tall Oregon Grape,Sun/Shade,Moist/Dry,"Open Forest, Forest Edge, Disturbed Sites, Interior","Plug, Container",Native Shrubs
Mahonia nervosa,Dull Oregon Grape,Sun/Shade,"Moist/Dry, Well Drained","Shade Forest, Open Forest, Forest Edge","Plug, Container",Native Shrubs
Mahonia repens,Creeping Oregon Grape,Sun/Shade,"Moist/Dry, Well Drained, Drought Tolerant","Grassland, Shade Forest, Open Forest, Interior","Plug, Container",Native Shrubs
Menziesia ferruginea,False Azalea,Sun/Partial Shade,"Moist,Humus,Acidic","Riparian, Open Forest, Forest Edge, Montane/Alpine","Plug, Container",Native Shrubs
Myrica gale,Sweet Gale,Sun/Partial Shade,"Wet/Moist, Acidic","Riparian, Wetland, Bog",Inquire,Native Shrubs
Oplopanax horridus,Devil's Club,Partial Shade/Shade,Wet/Moist,"Riparian, Shade Forest","Plug, Container",Native Shrubs
Osmaronia (Oemleria) cerasiformis,Indian Plum,Partial Shade,Moist/Dry,"Open Forest, Forest Edge, Riparian","Plug, Container",Native Shrubs
Philadelphus lewisii,Mock Orange,Sun/Partial Shade,"Moist/Dry, Well Drained, Rocky","Open Forest, Riparian, Forest Edge, Grassland, Interior","Plug, Container",Native Shrubs
Physocarpus capitatus,Pacific Ninebark,Sun/Partial Shade,"Moist/Wet, Humus","Riparian, Wetland, Open Forest, Forest Edge","Plug, Container",Native Shrubs
Rhododendron macrophyllum,Pacific Rhododendron,Partial Shade,"Moist/Dry, Humus","Shade Forest, Open Forest, Forest Edge","Plug, Container",Native Shrubs
Rhus glabra,Smooth Sumac,Sun,"Moist/Dry, Well Drained","Open Forest, Disturbed Sites, Riparian, Interior","Plug, Container",Native Shrubs
Ribes aureum,Golden Currant,Sun/Partial Shade,"Moist, Well Drained, Humus, Drought Tolerant","Grassland, Interior, Shade Forest, Open Forest, Forest Edge, Riparian, Disturbed Sites",Inquire,Native Shrubs
Ribes bracteosum,Stink Currant,Shade/Partial Shade,Wet/Moist,"Riparian, Shade Forest, Open Forest, Montane/Alpine",Plug,Native Shrubs
Ribes cereum,White Currant,Sun/Partial Shade,"Dry, Rocky","Open Forest, Forest Edge, Montane/Alpine, Interior",Inquire,Native Shrubs
Ribes divaricatum,Wild Gooseberry,Sun/Partial Shade,Moist,"Open Forest, Riparian, Forest Edge","Plug, Container",Native Shrubs
Ribes lacustre,Black Gooseberry,Sun,Moist,"Open Forest, Riparian, Forest Edge, Montane/Alpine, Interior","Plug, Container",Native Shrubs
Ribes sanguineum,Red-flowering Currant,Sun/Partial Shade,"Moist/Dry, Well Drained, Rocky",Open Forest,"Plug, Container",Native Shrubs
Rosa acicularis,Prickly Rose,Sun/Partial Shade,"Moist/Dry, Well Drained","Grassland, Interior, Open Forest, Forest Edge, Disturbed Sites","Plug, Container",Native Shrubs
Rosa gymnocarpa,Baldhip Rose,Sun/Partial Shade,"Moist/Dry, Drought Tolerant","Open Forest, Forest Edge, Interior","Plug, Container",Native Shrubs
