LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Abies grandis,Grand Fir,Sun/Partial Shade,"Moist, Well Drained","Open Forest, Shade Forest","Plug, Container",Native Trees
Acer macrophyllum,Big-leaf Maple,Sun/Partial Shade,"Moist/Dry, Well Drained","Shade Forest, Open Forest, Riparian","Plug, Container, B&B",Native Trees
Alnus rubra,Red Alder,Sun/Partial Shade,Dry/Moist/Wet,"Open Forest, Disturbed Sites, Riparian, Forest Edge, Wetland","Plug, Container",Native Trees
Arbutus menziesii,Arbutus (Pacific Madrone),Sun,"Dry/Rocky, Well Drained, Acidic","Shoreline, Open Forest, Forest Edge, Grassland","Plug, Container",Native Trees
Betula papyrifera,Paper Birch,Sun/Partial Shade,"Moist/Wet, Well Drained, Acidic","Open Forest, Forest Edge, Grassland, Riparian, Bog","Plug, Container",Native Trees
Chamaecyparis nootkatensis,Yellow Cedar,Sun/Partial Shade,"Moist/Wet, Well Drained",Montane/Alpine,Inquire,Native Trees
Cornus nuttallii,Pacific Dogwood,Partial Shade,Moist/Well Drained,"Open Forest, Shade Forest, Riparian, Forest Edge",Inquire,Native Trees
Corylus cornuta,Beaked Hazelnut,Sun/Shade,"Moist/Dry, Humus, Well Drained","Open Forest, Riparian","Plug, Container",Native Trees
Crataegus douglasii,Black Hawthorne,Sun/Partial Shade,"Moist, Well Drained","Riparian, Open Forest, Forest Edge","Plug, Container",Native Trees
Fraxinus latifolia,Oregon Ash,Sun/Partial Shade,Moist/Wet,"Wetland, Riparian",Inquire,Native Trees
Juniperus communis,Common Juniper,Sun,"Dry, Rocky, Drought Tolerant",Montane/Alpine,Inquire,Native Trees
Malus diversifolia,Pacific Crabapple,Sun/Partial Shade,Moist/Wet,"Shoreline, Riparian, Wetland, Bog, Shade Forest","Plug, Container",Native Trees
Picea sitchensis,Sitka Spruce,Sun/Partial Shade,Moist/Well Drained,"Open Forest, Bog, Shoreline","Plug, Container",Native Trees
Pinus albicaulis,Whitebark Pine,Sun,Moist/Dry,"Open Forest, Montane/Alpine, Interior",Inquire,Native Trees
Pinus contorta var. contorta,Shore Pine,Sun,"Wet/Moist/Dry, Acidic/Alkaline (Basic)","Shoreline, Bog, Open Forest","Plug, Container",Native Trees
Pinus contorta var. latifolia,Lodgepole Pine,Sun,Moist/Dry,"Interior, Bog, Open Forest, Montane/Alpine",Inquire,Native Trees
Pinus ponderosa,Ponderosa Pine,Sun,"Well Drained, Dry","Open Forest, Grassland, Interior, Montane/Alpine",Inquire,Native Trees
Populus tremuloides,Trembling Aspen,Sun,Moist,"Riparian, Open Forest, Forest Edge, Disturbed Sites, Interior",Inquire,Native Trees
Populus trichocarpa,Black Cottonwood,Sun,Moist/Wet,"Riparian, Open Forest, Forest Edge, Disturbed Sites, Interior","Plug, Container",Native Trees
Prunus emarginata,Bitter Cherry,Sun/Partial Shade,Moist/Dry,"Open Forest, Forest Edge, Interior","Plug, Container",Native Trees
Prunus virginiana,Choke Cherry,Sun,Moist/Dry,"Shoreline, Riparian, Open Forest, Interior","Plug, Container",Native Trees
Pseudotsuga menziesii var. menziesii,Coastal Douglas-fir,Sun,"Well Drained, Moist/Dry","Open Forest, Shade Forest","Plug, Container",Native Trees
Pseudotsuga menziesii var. glauca,Interior Douglas-fir,Sun,"Well Drained, Moist/Dry","Open Forest, Shade Forest",Plug,Native Trees
Quercus garryana,Garry Oak,Sun,"Moist/Dry, Well Drained, Rocky, Humus","Grassland, Open Forest, Forest Edge, Shoreline, Riparian","Plug, Container",Native Trees
Taxus brevifolia,Pacific Yew,Shade/Partial Shade,Moist,"Shade Forest, Riparian",Inquire,Native Trees
Thuja plicata,Western Red Cedar,Sun/Partial Shade,Moist/Wet,"Shade Forest, Riparian, Bog, Wetland, Shoreline","Plug, Container, B&B",Native Trees
Tsuga heterophylla,Western Hemlock,Sun/Shade,"Moist, Humus","Shade Forest, Riparian","Plug, Container",Native Trees
Tsuga mertensiana,Mountain Hemlock,Sun/Partial Shade,"Moist/Wet, Humus","Montane/Alpine, Bog, Wetland",Container,Native Trees
